"Date_evenement";"Femmes_0_24ans_Deces2020";"Femmes_25_49ans_Deces2020";"Femmes_50_64ans_Deces2020";"Femmes_65_74ans_Deces2020";"Femmes_75_84ans_Deces2020";"Femmes_85ans_plus_Deces2020";"Hommes_0_24ans_Deces2020";"Hommes_25_49ans_Deces2020";"Hommes_50_64ans_Deces2020";"Hommes_65_74ans_Deces2020";"Hommes_75_84ans_Deces2020";"Hommes_85ans_plus_Deces2020";"Femmes_0_24ans_Deces2019";"Femmes_25_49ans_Deces2019";"Femmes_50_64ans_Deces2019";"Femmes_65_74ans_Deces2019";"Femmes_75_84ans_Deces2019";"Femmes_85ans_plus_Deces2019";"Hommes_0_24ans_Deces2019";"Hommes_25_49ans_Deces2019";"Hommes_50_64ans_Deces2019";"Hommes_65_74ans_Deces2019";"Hommes_75_84ans_Deces2019";"Hommes_85ans_plus_Deces2019";"Femmes_0_24ans_Deces2018";"Femmes_25_49ans_Deces2018";"Femmes_50_64ans_Deces2018";"Femmes_65_74ans_Deces2018";"Femmes_75_84ans_Deces2018";"Femmes_85ans_plus_Deces2018";"Hommes_0_24ans_Deces2018";"Hommes_25_49ans_Deces2018";"Hommes_50_64ans_Deces2018";"Hommes_65_74ans_Deces2018";"Hommes_75_84ans_Deces2018";"Hommes_85ans_plus_Deces2018";"Zone";"LibelleZone"
"24/01/2020";159;437;1585;2331;4009;14037;255;940;2877;4379;5015;8580;152;511;1651;2331;4049;14723;243;1007;3117;4247;5393;8796;157;504;1641;2317;4360;15317;262;1034;3176;4164;5464;8891;"FE";"France"
"25/01/2020";168;450;1655;2437;4183;14617;267;976;2980;4553;5210;8915;155;537;1721;2438;4222;15341;255;1061;3246;4441;5643;9180;163;522;1703;2402;4551;15890;276;1084;3329;4311;5685;9228;"FE";"France"
"26/01/2020";176;465;1716;2530;4341;15203;279;1016;3078;4698;5418;9246;157;558;1797;2536;4406;16022;264;1092;3370;4633;5884;9585;169;530;1756;2495;4700;16466;287;1118;3468;4472;5918;9565;"FE";"France"
"27/01/2020";183;483;1787;2630;4487;15805;289;1052;3228;4866;5642;9592;163;586;1872;2635;4570;16645;271;1119;3474;4838;6137;9981;174;544;1823;2596;4848;17024;299;1155;3555;4645;6135;9908;"FE";"France"
"28/01/2020";185;500;1851;2722;4652;16343;299;1083;3354;5053;5842;9976;176;607;1933;2726;4747;17323;277;1166;3625;5038;6385;10367;181;562;1887;2686;4987;17553;311;1205;3668;4802;6345;10224;"FE";"France"
"29/01/2020";190;523;1907;2803;4809;16916;311;1129;3468;5256;6065;10345;183;623;1989;2827;4944;17969;287;1200;3768;5233;6622;10739;188;577;1948;2778;5166;18085;323;1251;3791;4958;6557;10566;"FE";"France"
"30/01/2020";199;542;1973;2899;4955;17464;321;1167;3596;5428;6280;10676;186;644;2058;2917;5121;18598;295;1234;3915;5403;6862;11159;196;602;2021;2868;5335;18631;335;1284;3918;5139;6762;10908;"FE";"France"
"31/01/2020";203;561;2038;2991;5112;18043;332;1214;3722;5619;6476;11040;189;661;2131;3016;5328;19227;301;1268;4037;5609;7085;11568;200;618;2093;2957;5493;19214;347;1324;4046;5298;6985;11233;"FE";"France"
"01/02/2020";209;582;2089;3080;5240;18647;346;1254;3821;5807;6660;11358;199;684;2207;3137;5532;19916;313;1311;4175;5804;7324;11968;207;634;2166;3054;5653;19743;355;1351;4184;5446;7194;11569;"FE";"France"
"02/02/2020";214;604;2154;3177;5406;19202;354;1301;3951;5984;6881;11724;205;707;2272;3240;5702;20581;337;1353;4304;5970;7574;12360;217;657;2231;3142;5840;20315;359;1393;4308;5593;7399;11876;"FE";"France"
"03/02/2020";224;621;2221;3281;5594;19778;365;1350;4059;6176;7103;12067;209;735;2342;3357;5857;21197;342;1405;4417;6150;7770;12720;225;680;2301;3242;6010;20807;366;1427;4431;5745;7616;12205;"FE";"France"
"04/02/2020";232;638;2297;3375;5760;20374;375;1385;4179;6339;7345;12411;222;761;2424;3454;6034;21838;353;1444;4555;6341;8017;13090;226;699;2381;3324;6173;21349;375;1473;4568;5921;7816;12517;"FE";"France"
"05/02/2020";241;653;2366;3471;5917;20910;390;1421;4283;6497;7551;12753;234;779;2490;3552;6231;22544;362;1482;4685;6532;8251;13488;234;718;2444;3426;6347;21931;389;1518;4695;6112;8037;12828;"FE";"France"
"06/02/2020";246;671;2430;3565;6066;21494;402;1469;4403;6666;7765;13088;239;805;2547;3656;6433;23223;379;1514;4815;6708;8487;13919;245;732;2498;3533;6525;22506;403;1560;4836;6291;8265;13144;"FE";"France"
"07/02/2020";252;689;2502;3669;6210;22074;414;1513;4519;6860;7977;13418;248;817;2613;3736;6626;23901;392;1560;4926;6873;8736;14325;250;751;2548;3625;6686;23074;415;1611;4977;6454;8486;13503;"FE";"France"
"08/02/2020";259;707;2569;3759;6369;22611;421;1546;4647;7050;8193;13772;260;830;2686;3840;6810;24542;406;1601;5067;7066;8997;14715;256;768;2625;3721;6846;23627;428;1638;5114;6627;8687;13841;"FE";"France"
"09/02/2020";263;719;2631;3859;6505;23139;431;1579;4759;7207;8402;14126;266;857;2746;3938;7004;25215;416;1643;5199;7267;9209;15102;263;792;2697;3800;7014;24221;432;1676;5252;6803;8883;14189;"FE";"France"
"10/02/2020";269;741;2692;3930;6671;23707;441;1627;4876;7397;8626;14471;274;875;2805;4046;7165;25868;427;1676;5315;7454;9440;15475;271;817;2760;3893;7176;24818;440;1724;5373;6978;9125;14555;"FE";"France"
"11/02/2020";273;755;2755;4023;6821;24283;457;1655;5027;7554;8820;14817;279;889;2868;4140;7338;26507;438;1728;5454;7648;9691;15856;277;842;2827;3983;7340;25419;450;1764;5510;7143;9325;14894;"FE";"France"
"12/02/2020";278;781;2815;4133;7003;24778;469;1695;5132;7725;9052;15175;287;912;2939;4238;7490;27170;450;1761;5585;7854;9918;16204;281;862;2891;4079;7506;25993;462;1797;5637;7309;9527;15248;"FE";"France"
"13/02/2020";285;797;2879;4238;7160;25327;478;1730;5241;7907;9271;15498;295;932;3006;4350;7690;27809;466;1794;5719;8005;10130;16604;289;883;2957;4191;7666;26617;467;1833;5761;7501;9706;15585;"FE";"France"
"14/02/2020";290;821;2948;4338;7322;25866;492;1781;5354;8067;9487;15816;301;950;3076;4455;7857;28441;479;1826;5843;8212;10386;16953;301;900;3030;4280;7836;27208;474;1873;5869;7658;9952;15926;"FE";"France"
"15/02/2020";295;837;3005;4434;7472;26409;508;1823;5467;8236;9684;16171;307;975;3142;4553;8044;29085;492;1867;5973;8390;10626;17343;305;924;3099;4378;7979;27770;485;1915;6003;7831;10159;16245;"FE";"France"
"16/02/2020";305;860;3084;4520;7634;26974;519;1870;5564;8387;9916;16505;318;994;3215;4639;8213;29740;510;1915;6092;8569;10853;17739;314;958;3160;4456;8166;28367;493;1955;6155;8001;10412;16621;"FE";"France"
"17/02/2020";311;882;3136;4617;7816;27552;538;1907;5691;8556;10142;16864;327;1020;3288;4732;8362;30332;521;1952;6202;8740;11093;18109;316;979;3238;4536;8335;28934;504;1996;6281;8155;10638;16995;"FE";"France"
"18/02/2020";315;900;3195;4696;7976;28129;546;1949;5790;8737;10358;17180;336;1048;3356;4835;8533;30969;523;1995;6355;8950;11319;18470;320;997;3299;4609;8503;29490;515;2037;6409;8315;10858;17317;"FE";"France"
"19/02/2020";320;916;3252;4806;8110;28625;555;1979;5904;8914;10547;17527;344;1077;3421;4949;8720;31662;536;2028;6475;9142;11557;18880;326;1020;3368;4705;8662;30142;528;2092;6535;8495;11081;17668;"FE";"France"
"20/02/2020";332;933;3320;4907;8237;29153;567;2016;6030;9075;10748;17844;355;1099;3502;5047;8895;32320;551;2070;6599;9336;11759;19265;334;1043;3431;4780;8842;30743;539;2140;6661;8671;11317;18046;"FE";"France"
"21/02/2020";342;948;3380;4999;8383;29679;576;2056;6150;9268;10993;18150;361;1118;3566;5162;9065;32952;567;2106;6719;9511;12011;19625;339;1067;3506;4862;9019;31320;549;2178;6799;8836;11565;18363;"FE";"France"
"22/02/2020";347;966;3445;5087;8517;30209;588;2090;6267;9414;11178;18457;367;1140;3639;5242;9250;33590;579;2140;6830;9721;12237;20020;349;1088;3569;4962;9179;31885;563;2220;6927;8996;11804;18708;"FE";"France"
"23/02/2020";354;977;3498;5167;8651;30761;599;2130;6392;9570;11361;18782;375;1148;3715;5331;9382;34197;591;2172;6933;9903;12444;20396;354;1110;3635;5054;9373;32495;577;2258;7061;9166;12040;19076;"FE";"France"
"24/02/2020";360;992;3564;5265;8790;31299;606;2160;6518;9756;11568;19105;380;1165;3783;5415;9539;34803;596;2213;7062;10064;12662;20738;360;1131;3723;5155;9544;33144;585;2303;7174;9328;12249;19425;"FE";"France"
"25/02/2020";363;1013;3626;5363;8945;31810;622;2193;6633;9946;11773;19400;388;1180;3847;5524;9743;35458;607;2262;7204;10246;12889;21091;368;1155;3778;5258;9713;33762;593;2336;7297;9491;12475;19825;"FE";"France"
"26/02/2020";366;1028;3674;5450;9112;32369;631;2241;6763;10131;11982;19749;390;1200;3914;5630;9904;36088;617;2293;7336;10441;13111;21454;377;1175;3829;5360;9896;34387;598;2372;7451;9678;12728;20202;"FE";"France"
"27/02/2020";371;1049;3754;5555;9280;32905;640;2279;6880;10317;12164;20069;399;1218;3977;5714;10074;36711;627;2329;7479;10611;13357;21839;380;1197;3909;5459;10070;35005;608;2403;7582;9857;12969;20580;"FE";"France"
"28/02/2020";378;1072;3829;5664;9433;33457;653;2319;6985;10485;12366;20390;405;1233;4052;5805;10248;37342;637;2369;7600;10782;13578;22209;384;1216;3974;5540;10267;35606;622;2448;7747;10036;13200;20948;"FE";"France"
"29/02/2020";385;1090;3890;5747;9594;34036;662;2350;7093;10639;12572;20688;405;1233;4052;5805;10248;37342;637;2369;7600;10782;13578;22209;384;1216;3974;5540;10267;35606;622;2448;7747;10036;13200;20948;"FE";"France"
"01/03/2020";390;1104;3953;5837;9774;34574;673;2392;7225;10800;12774;21032;408;1256;4124;5910;10406;37968;646;2421;7719;10940;13774;22560;392;1240;4046;5646;10471;36264;633;2494;7876;10240;13456;21366;"FE";"France"
"02/03/2020";397;1120;4004;5922;9924;35140;682;2424;7364;10958;13008;21370;411;1269;4195;6011;10561;38573;663;2456;7840;11120;14022;22921;402;1261;4120;5766;10672;36971;643;2544;8031;10445;13713;21747;"FE";"France"
"03/03/2020";405;1149;4075;6022;10076;35627;688;2473;7506;11138;13224;21703;419;1283;4266;6097;10727;39123;670;2499;7958;11291;14224;23233;409;1281;4191;5845;10880;37692;654;2582;8161;10626;13961;22161;"FE";"France"
"04/03/2020";413;1167;4135;6107;10236;36214;698;2518;7639;11299;13450;22026;426;1305;4334;6195;10901;39740;682;2540;8073;11466;14432;23576;415;1314;4274;5933;11065;38408;661;2628;8295;10811;14189;22540;"FE";"France"
"05/03/2020";418;1188;4202;6208;10374;36750;708;2556;7770;11471;13684;22355;432;1325;4397;6286;11084;40310;696;2584;8210;11650;14641;23923;418;1330;4337;6033;11280;39135;668;2670;8450;11010;14462;22941;"FE";"France"
"06/03/2020";423;1211;4265;6304;10560;37283;719;2598;7891;11658;13906;22713;441;1346;4461;6389;11265;40875;704;2618;8331;11850;14861;24267;425;1350;4416;6124;11478;39818;681;2709;8590;11207;14737;23357;"FE";"France"
"07/03/2020";427;1225;4336;6387;10719;37805;728;2635;8011;11815;14117;23021;452;1372;4537;6484;11414;41484;716;2650;8451;12019;15078;24610;429;1372;4479;6229;11665;40503;692;2749;8712;11410;14981;23725;"FE";"France"
"08/03/2020";432;1244;4395;6479;10879;38337;737;2679;8112;11989;14328;23328;459;1400;4594;6576;11585;42013;726;2692;8581;12208;15299;24935;434;1388;4556;6310;11861;41207;709;2786;8838;11605;15218;24140;"FE";"France"
"09/03/2020";434;1269;4467;6599;11041;38857;744;2725;8248;12183;14531;23672;466;1419;4659;6683;11743;42560;734;2720;8700;12372;15502;25284;442;1410;4628;6421;12039;41871;721;2832;8960;11781;15453;24542;"FE";"France"
"10/03/2020";443;1287;4526;6686;11190;39461;752;2762;8388;12379;14746;23988;469;1443;4713;6771;11877;43097;740;2753;8796;12553;15699;25599;455;1431;4700;6514;12239;42555;728;2870;9112;11967;15698;24917;"FE";"France"
"11/03/2020";451;1313;4597;6781;11361;40073;759;2792;8506;12544;14968;24373;476;1463;4777;6862;12031;43682;746;2797;8939;12724;15873;25906;464;1457;4763;6608;12428;43216;732;2914;9243;12124;15900;25279;"FE";"France"
"12/03/2020";462;1329;4669;6876;11547;40616;770;2825;8622;12735;15169;24703;481;1490;4850;6956;12199;44198;754;2839;9041;12895;16071;26208;472;1477;4825;6720;12623;43902;742;2948;9392;12300;16117;25657;"FE";"France"
"13/03/2020";467;1351;4730;6975;11707;41169;786;2866;8744;12903;15368;25048;485;1509;4904;7052;12376;44722;763;2872;9149;13068;16258;26515;479;1497;4898;6823;12783;44540;752;2990;9530;12477;16343;26043;"FE";"France"
"14/03/2020";477;1377;4783;7085;11871;41721;795;2903;8855;13075;15586;25375;497;1529;4967;7155;12509;45254;778;2906;9261;13254;16454;26827;485;1514;4965;6918;12969;45178;761;3036;9661;12650;16572;26373;"FE";"France"
"15/03/2020";485;1399;4838;7182;12029;42263;805;2948;8964;13263;15814;25773;506;1555;5031;7267;12669;45789;789;2930;9359;13422;16668;27152;492;1533;5017;7008;13134;45794;768;3077;9798;12813;16804;26742;"FE";"France"
"16/03/2020";492;1420;4908;7276;12246;42849;816;2983;9103;13476;16039;26158;514;1578;5092;7356;12821;46343;798;2970;9476;13573;16875;27461;500;1549;5085;7095;13303;46396;778;3107;9945;13004;17042;27083;"FE";"France"
"17/03/2020";497;1441;4972;7391;12435;43512;822;3016;9242;13686;16266;26541;519;1605;5150;7437;12978;46879;807;3010;9574;13717;17069;27747;502;1574;5147;7167;13491;47029;789;3136;10053;13175;17249;27415;"FE";"France"
"18/03/2020";505;1460;5040;7496;12632;44108;830;3058;9363;13877;16535;26932;530;1623;5206;7544;13146;47419;819;3048;9695;13912;17280;28027;508;1591;5204;7251;13645;47639;813;3170;10154;13337;17448;27758;"FE";"France"
"19/03/2020";510;1480;5126;7640;12838;44758;834;3101;9495;14082;16792;27310;537;1655;5266;7641;13312;47950;828;3082;9804;14063;17480;28315;513;1607;5265;7332;13817;48197;826;3202;10288;13515;17660;28119;"FE";"France"
"20/03/2020";514;1500;5189;7739;13056;45378;841;3145;9620;14298;17068;27670;541;1681;5326;7740;13460;48471;836;3126;9931;14215;17683;28585;519;1619;5322;7417;13985;48774;840;3251;10398;13696;17863;28449;"FE";"France"
