"Date_evenement";"Femmes_0_24ans_Deces2020";"Femmes_25_49ans_Deces2020";"Femmes_50_64ans_Deces2020";"Femmes_65_74ans_Deces2020";"Femmes_75_84ans_Deces2020";"Femmes_85ans_plus_Deces2020";"Hommes_0_24ans_Deces2020";"Hommes_25_49ans_Deces2020";"Hommes_50_64ans_Deces2020";"Hommes_65_74ans_Deces2020";"Hommes_75_84ans_Deces2020";"Hommes_85ans_plus_Deces2020";"Femmes_0_24ans_Deces2019";"Femmes_25_49ans_Deces2019";"Femmes_50_64ans_Deces2019";"Femmes_65_74ans_Deces2019";"Femmes_75_84ans_Deces2019";"Femmes_85ans_plus_Deces2019";"Hommes_0_24ans_Deces2019";"Hommes_25_49ans_Deces2019";"Hommes_50_64ans_Deces2019";"Hommes_65_74ans_Deces2019";"Hommes_75_84ans_Deces2019";"Hommes_85ans_plus_Deces2019";"Femmes_0_24ans_Deces2018";"Femmes_25_49ans_Deces2018";"Femmes_50_64ans_Deces2018";"Femmes_65_74ans_Deces2018";"Femmes_75_84ans_Deces2018";"Femmes_85ans_plus_Deces2018";"Hommes_0_24ans_Deces2018";"Hommes_25_49ans_Deces2018";"Hommes_50_64ans_Deces2018";"Hommes_65_74ans_Deces2018";"Hommes_75_84ans_Deces2018";"Hommes_85ans_plus_Deces2018";"Zone";"LibelleZone"
"11/04/2020";633;1982;6809;10421;18083;62698;1027;4091;12813;19486;24263;38745;679;2088;6629;9685;16853;59488;1061;3985;12520;17783;22193;35224;669;2022;6725;9376;17637;61228;1053;4125;13156;17413;22587;35699;"FE";"France"
"12/04/2020";642;2007;6862;10522;18290;63466;1033;4134;12938;19687;24538;39202;685;2111;6673;9783;17010;59977;1074;4025;12651;17923;22388;35511;673;2057;6797;9458;17787;61753;1062;4176;13266;17576;22793;36026;"FE";"France"
"13/04/2020";648;2023;6944;10663;18533;64226;1039;4164;13068;19919;24819;39656;693;2126;6730;9864;17153;60422;1081;4064;12760;18094;22574;35805;682;2075;6856;9559;17937;62263;1073;4211;13387;17733;23009;36309;"FE";"France"
"14/04/2020";657;2042;7021;10769;18734;65025;1048;4204;13225;20123;25116;40083;697;2145;6786;9941;17293;60904;1090;4108;12856;18238;22749;36078;691;2101;6921;9645;18096;62748;1084;4251;13500;17890;23202;36581;"FE";"France"
"15/04/2020";665;2061;7086;10891;18946;65790;1049;4246;13349;20336;25403;40485;701;2162;6847;10025;17432;61416;1110;4140;12960;18398;22936;36382;696;2120;6971;9751;18255;63266;1093;4294;13624;18044;23395;36868;"FE";"France"
"16/04/2020";673;2070;7158;10991;19139;66490;1063;4292;13463;20528;25687;40943;708;2174;6905;10111;17589;61927;1122;4181;13097;18545;23122;36695;702;2136;7044;9837;18402;63776;1105;4343;13758;18204;23591;37171;"FE";"France"
"17/04/2020";679;2086;7232;11066;19368;67277;1072;4326;13596;20726;25965;41426;714;2193;6956;10191;17763;62437;1127;4210;13236;18706;23338;37032;704;2159;7107;9925;18556;64255;1115;4385;13880;18352;23814;37459;"FE";"France"
"18/04/2020";684;2097;7317;11171;19575;67996;1082;4363;13716;20930;26228;41815;719;2220;7017;10278;17913;62933;1137;4256;13353;18863;23528;37300;709;2177;7162;9999;18707;64712;1126;4428;13994;18536;24044;37765;"FE";"France"
"19/04/2020";688;2113;7380;11284;19752;68716;1086;4398;13822;21109;26456;42192;728;2236;7077;10386;18052;63443;1155;4303;13446;19052;23730;37588;711;2195;7240;10082;18862;65230;1136;4478;14106;18695;24270;38100;"FE";"France"
"20/04/2020";691;2128;7449;11369;19925;69366;1092;4435;13925;21291;26689;42543;733;2255;7134;10472;18206;63980;1170;4344;13555;19190;23929;37904;720;2217;7295;10186;19020;65779;1150;4524;14226;18866;24465;38419;"FE";"France"
"21/04/2020";697;2144;7506;11454;20098;69999;1097;4463;14066;21493;26910;42895;739;2269;7187;10567;18353;64466;1178;4375;13661;19318;24130;38194;728;2245;7353;10278;19194;66306;1157;4572;14370;19037;24674;38708;"FE";"France"
"22/04/2020";701;2160;7579;11567;20266;70561;1107;4491;14194;21683;27152;43267;748;2289;7241;10649;18526;64954;1192;4417;13777;19485;24304;38514;737;2262;7410;10353;19346;66803;1168;4608;14468;19198;24852;38995;"FE";"France"
"23/04/2020";704;2179;7641;11675;20427;71175;1118;4526;14319;21858;27354;43644;756;2313;7290;10729;18683;65488;1201;4452;13914;19647;24528;38781;741;2288;7459;10448;19489;67283;1174;4649;14595;19363;25048;39264;"FE";"France"
"24/04/2020";711;2198;7705;11773;20585;71744;1128;4561;14447;22041;27573;44022;761;2326;7361;10824;18829;66039;1209;4503;14029;19815;24725;39104;749;2315;7515;10527;19642;67784;1183;4696;14699;19511;25243;39541;"FE";"France"
"25/04/2020";717;2219;7762;11854;20773;72298;1136;4604;14561;22223;27814;44361;763;2343;7417;10900;18976;66548;1217;4546;14157;19972;24917;39413;756;2336;7579;10601;19795;68235;1197;4731;14830;19669;25435;39818;"FE";"France"
"26/04/2020";721;2231;7817;11941;20945;72814;1142;4642;14684;22402;28029;44678;769;2361;7472;10987;19117;67029;1232;4594;14281;20122;25112;39714;760;2357;7650;10688;19932;68676;1207;4768;14935;19835;25631;40100;"FE";"France"
"27/04/2020";725;2245;7869;12039;21100;73351;1147;4671;14814;22560;28233;44981;773;2379;7537;11068;19252;67506;1236;4644;14384;20292;25298;39983;771;2370;7704;10770;20080;69132;1218;4806;15058;19987;25821;40390;"FE";"France"
"28/04/2020";730;2262;7937;12123;21243;73883;1160;4692;14928;22742;28465;45329;776;2395;7595;11148;19397;68015;1249;4680;14496;20456;25464;40270;779;2396;7770;10858;20221;69613;1228;4842;15179;20128;26023;40653;"FE";"France"
"29/04/2020";734;2274;7995;12221;21395;74417;1172;4732;15051;22905;28678;45621;781;2424;7662;11234;19553;68451;1258;4719;14610;20603;25647;40553;783;2412;7824;10953;20370;70102;1239;4874;15285;20272;26198;40952;"FE";"France"
"30/04/2020";736;2290;8077;12312;21537;74915;1182;4780;15150;23082;28881;45889;784;2440;7720;11313;19697;68924;1268;4747;14737;20760;25842;40820;787;2433;7885;11037;20515;70549;1246;4914;15417;20426;26407;41210;"FE";"France"
"01/05/2020";739;2306;8138;12408;21677;75382;1189;4816;15256;23230;29061;46168;790;2464;7765;11383;19850;69456;1283;4779;14857;20918;26035;41132;789;2454;7934;11115;20642;71004;1259;4956;15525;20582;26583;41467;"FE";"France"
"02/05/2020";746;2324;8203;12500;21836;75898;1203;4847;15354;23404;29235;46443;797;2491;7822;11464;20009;69956;1294;4832;14984;21066;26201;41438;793;2469;8004;11210;20779;71436;1271;5001;15646;20748;26787;41748;"FE";"France"
"03/05/2020";749;2342;8262;12582;21964;76402;1211;4873;15447;23563;29438;46745;804;2505;7876;11542;20173;70464;1308;4880;15097;21221;26361;41716;798;2485;8058;11290;20926;71855;1282;5044;15766;20892;26953;42012;"FE";"France"
"04/05/2020";753;2365;8328;12685;22122;76915;1223;4915;15566;23753;29642;47010;813;2521;7935;11647;20311;70930;1318;4916;15201;21379;26562;42001;803;2508;8124;11381;21055;72332;1292;5085;15892;21069;27159;42301;"FE";"France"
"05/05/2020";758;2386;8381;12752;22282;77433;1228;4958;15693;23913;29843;47305;819;2538;7997;11722;20450;71370;1326;4958;15318;21520;26747;42278;816;2527;8189;11471;21218;72822;1304;5126;16012;21203;27344;42572;"FE";"France"
"06/05/2020";761;2403;8437;12847;22419;77913;1235;4997;15818;24079;30037;47609;827;2553;8068;11798;20597;71877;1339;5010;15452;21701;26950;42554;823;2542;8255;11532;21359;73310;1313;5165;16125;21351;27544;42864;"FE";"France"
"07/05/2020";768;2418;8479;12943;22571;78391;1242;5034;15949;24242;30240;47884;835;2572;8116;11900;20738;72392;1348;5048;15570;21868;27144;42833;832;2566;8336;11618;21498;73776;1320;5204;16248;21496;27745;43133;"FE";"France"
"08/05/2020";773;2439;8536;13038;22723;78893;1247;5065;16059;24405;30444;48151;845;2588;8168;12001;20885;72860;1359;5089;15692;22014;27354;43106;837;2580;8401;11686;21653;74248;1333;5249;16342;21647;27937;43411;"FE";"France"
"09/05/2020";780;2452;8594;13131;22871;79367;1253;5089;16180;24547;30628;48421;851;2605;8236;12086;21024;73349;1363;5132;15800;22164;27546;43398;841;2597;8460;11769;21813;74688;1345;5288;16452;21796;28127;43678;"FE";"France"
"10/05/2020";785;2475;8648;13227;23014;79839;1259;5114;16278;24720;30808;48720;856;2630;8303;12175;21187;73824;1377;5176;15911;22352;27736;43695;849;2617;8517;11844;21974;75107;1355;5325;16561;21918;28296;43926;"FE";"France"
"11/05/2020";789;2496;8706;13298;23156;80299;1266;5144;16400;24871;30988;49001;858;2651;8363;12247;21348;74254;1388;5217;16004;22505;27929;43983;861;2644;8583;11936;22140;75542;1369;5371;16680;22062;28482;44190;"FE";"France"
"12/05/2020";797;2508;8768;13382;23298;80754;1276;5195;16537;25031;31175;49263;864;2669;8430;12319;21492;74737;1396;5258;16109;22663;28119;44259;866;2666;8644;12009;22292;75978;1376;5412;16806;22212;28674;44437;"FE";"France"
"13/05/2020";805;2536;8822;13474;23470;81224;1285;5248;16636;25188;31354;49544;867;2687;8489;12395;21640;75164;1412;5290;16230;22806;28317;44555;868;2686;8697;12087;22426;76377;1386;5447;16908;22362;28859;44663;"FE";"France"
"14/05/2020";814;2558;8882;13551;23628;81681;1296;5284;16749;25341;31533;49819;870;2702;8556;12469;21786;75661;1424;5329;16365;22975;28497;44824;874;2704;8771;12162;22578;76806;1394;5482;17026;22500;29034;44910;"FE";"France"
"15/05/2020";823;2579;8949;13648;23793;82128;1307;5330;16884;25532;31733;50080;873;2727;8623;12564;21944;76138;1433;5367;16488;23125;28694;45098;886;2721;8826;12267;22722;77232;1407;5527;17144;22646;29206;45143;"FE";"France"
"16/05/2020";826;2599;9012;13743;23939;82584;1325;5373;16989;25714;31918;50352;878;2751;8687;12649;22103;76591;1438;5411;16605;23283;28899;45392;898;2740;8888;12351;22851;77701;1419;5570;17268;22795;29379;45407;"FE";"France"
"17/05/2020";830;2619;9078;13831;24087;83010;1339;5400;17086;25869;32086;50662;882;2769;8755;12731;22249;77088;1453;5462;16726;23447;29094;45659;904;2758;8937;12438;23000;78152;1431;5602;17392;22959;29568;45677;"FE";"France"
"18/05/2020";839;2638;9130;13903;24221;83491;1351;5448;17227;26041;32278;50952;889;2784;8802;12830;22406;77580;1463;5502;16842;23623;29294;45931;914;2773;9005;12536;23153;78616;1445;5645;17515;23106;29740;45945;"FE";"France"
"19/05/2020";845;2662;9191;13977;24369;84009;1358;5483;17360;26238;32477;51250;896;2801;8856;12910;22562;78076;1481;5540;16942;23767;29460;46225;921;2795;9075;12616;23286;79069;1457;5686;17635;23238;29945;46188;"FE";"France"
"20/05/2020";849;2683;9262;14054;24519;84497;1366;5525;17490;26422;32688;51553;903;2830;8918;13005;22718;78548;1486;5581;17055;23907;29681;46529;926;2816;9144;12704;23419;79527;1468;5721;17753;23384;30135;46447;"FE";"France"
"21/05/2020";856;2705;9329;14147;24681;85025;1381;5569;17611;26587;32909;51839;909;2846;8975;13092;22873;79009;1495;5610;17169;24066;29883;46817;935;2835;9207;12777;23591;79967;1475;5760;17866;23543;30315;46726;"FE";"France"
"22/05/2020";862;2719;9413;14227;24826;85545;1390;5601;17738;26770;33078;52157;918;2874;9036;13173;23021;79436;1508;5651;17288;24234;30065;47095;942;2859;9277;12839;23754;80449;1484;5795;17972;23697;30487;46981;"FE";"France"
"23/05/2020";867;2730;9484;14312;24970;85999;1395;5643;17858;26931;33278;52430;924;2892;9097;13267;23185;79933;1522;5688;17416;24407;30286;47340;945;2882;9348;12928;23907;80912;1492;5842;18105;23834;30670;47279;"FE";"France"
"24/05/2020";873;2744;9535;14379;25090;86391;1409;5687;17970;27070;33437;52682;932;2923;9156;13359;23335;80436;1534;5731;17535;24568;30475;47621;952;2906;9421;13013;24072;81350;1504;5886;18218;23988;30877;47546;"FE";"France"
"25/05/2020";878;2760;9601;14476;25242;86841;1423;5718;18091;27237;33603;52929;937;2940;9214;13448;23499;80858;1545;5772;17655;24725;30630;47889;958;2922;9478;13103;24226;81787;1514;5928;18345;24170;31057;47809;"FE";"France"
"26/05/2020";884;2779;9656;14588;25382;87282;1433;5770;18208;27398;33809;53179;939;2957;9274;13513;23656;81298;1556;5806;17750;24878;30813;48135;964;2945;9538;13195;24396;82246;1524;5966;18457;24351;31241;48076;"FE";"France"
"27/05/2020";887;2792;9714;14673;25519;87725;1443;5810;18328;27547;33988;53460;945;2972;9340;13603;23785;81772;1571;5853;17862;25034;30992;48390;974;2958;9606;13276;24548;82733;1531;6000;18575;24501;31411;48355;"FE";"France"
"28/05/2020";889;2818;9768;14765;25655;88195;1460;5850;18457;27689;34189;53749;949;2991;9397;13694;23935;82223;1589;5888;17968;25198;31178;48641;981;2980;9673;13350;24697;83192;1544;6041;18701;24690;31610;48611;"FE";"France"
"29/05/2020";893;2838;9822;14849;25794;88638;1472;5887;18589;27855;34369;54005;956;3007;9454;13780;24070;82668;1598;5922;18091;25357;31358;48884;990;3001;9733;13435;24842;83665;1554;6081;18832;24835;31797;48878;"FE";"France"
"30/05/2020";902;2856;9888;14941;25929;89045;1482;5929;18711;28017;34567;54228;961;3030;9513;13864;24213;83092;1609;5948;18195;25491;31532;49149;992;3022;9792;13525;24993;84097;1561;6117;18945;24984;32029;49138;"FE";"France"
"31/05/2020";908;2878;9936;15020;26072;89482;1497;5972;18808;28168;34750;54471;966;3044;9580;13938;24347;83586;1625;5984;18310;25653;31702;49418;999;3046;9849;13607;25117;84536;1573;6157;19055;25137;32222;49382;"FE";"France"
"01/06/2020";912;2889;9988;15099;26227;89921;1509;6007;18933;28316;34943;54744;975;3063;9655;14019;24492;84038;1635;6022;18434;25811;31887;49696;1002;3061;9911;13687;25265;84946;1590;6182;19164;25306;32414;49628;"FE";"France"
"02/06/2020";922;2908;10054;15192;26376;90391;1521;6042;19057;28481;35125;55018;977;3087;9708;14099;24637;84508;1650;6058;18548;25954;32065;49991;1009;3085;9958;13774;25406;85393;1603;6222;19276;25474;32591;49902;"FE";"France"
"03/06/2020";926;2932;10106;15269;26505;90870;1531;6080;19175;28672;35292;55270;984;3102;9775;14174;24769;84974;1660;6102;18685;26115;32245;50306;1014;3105;10023;13847;25562;85849;1615;6259;19381;25627;32781;50150;"FE";"France"
"04/06/2020";933;2949;10169;15363;26648;91322;1543;6117;19309;28845;35479;55546;990;3120;9832;14263;24924;85419;1675;6133;18793;26293;32445;50574;1022;3121;10072;13937;25700;86316;1628;6291;19505;25762;32947;50417;"FE";"France"
"05/06/2020";941;2970;10221;15451;26791;91740;1556;6149;19426;28983;35663;55789;998;3138;9893;14359;25071;85821;1686;6163;18922;26457;32628;50836;1023;3137;10137;14020;25829;86719;1637;6332;19599;25917;33124;50684;"FE";"France"
"06/06/2020";953;2988;10286;15558;26955;92182;1568;6190;19548;29124;35854;56030;1004;3156;9971;14451;25210;86264;1693;6205;19038;26609;32791;51076;1030;3156;10216;14085;25956;87143;1647;6382;19706;26072;33310;50931;"FE";"France"
"07/06/2020";958;3002;10328;15633;27075;92590;1580;6220;19638;29277;36023;56281;1015;3172;10021;14545;25337;86671;1705;6245;19155;26758;32997;51329;1033;3177;10276;14169;26124;87539;1659;6417;19823;26220;33487;51177;"FE";"France"
"08/06/2020";961;3018;10372;15724;27203;93031;1590;6260;19749;29450;36183;56512;1020;3196;10082;14636;25485;87104;1713;6290;19237;26911;33199;51561;1041;3200;10348;14262;26283;87975;1671;6458;19958;26379;33670;51424;"FE";"France"
"09/06/2020";967;3036;10423;15817;27349;93497;1600;6301;19884;29600;36368;56769;1021;3208;10130;14713;25644;87511;1719;6337;19344;27074;33383;51798;1049;3208;10408;14338;26426;88396;1681;6507;20077;26505;33886;51661;"FE";"France"
"10/06/2020";972;3052;10490;15896;27502;93921;1610;6339;20008;29763;36543;57014;1026;3216;10174;14795;25788;87940;1729;6380;19463;27222;33557;52052;1058;3226;10454;14420;26551;88832;1691;6552;20183;26652;34063;51905;"FE";"France"
"11/06/2020";976;3076;10571;15992;27648;94343;1618;6385;20143;29941;36726;57276;1034;3233;10237;14889;25909;88393;1743;6424;19578;27362;33743;52295;1062;3248;10496;14499;26692;89249;1702;6587;20326;26802;34261;52167;"FE";"France"
"12/06/2020";985;3095;10634;16076;27797;94775;1628;6423;20263;30118;36890;57549;1041;3249;10301;14987;26039;88789;1757;6458;19692;27520;33914;52577;1072;3259;10567;14587;26828;89671;1710;6630;20441;26979;34458;52406;"FE";"France"
"13/06/2020";989;3110;10682;16169;27948;95229;1637;6455;20386;30277;37078;57809;1046;3268;10358;15073;26187;89256;1766;6503;19822;27666;34115;52818;1078;3281;10630;14665;26950;90051;1723;6674;20562;27122;34638;52653;"FE";"France"
"14/06/2020";998;3131;10749;16248;28089;95662;1646;6496;20503;30421;37252;58060;1048;3288;10417;15170;26334;89702;1774;6544;19938;27827;34277;53059;1081;3297;10689;14743;27069;90462;1738;6707;20686;27263;34820;52906;"FE";"France"
"15/06/2020";1003;3157;10800;16333;28235;96124;1655;6532;20618;30586;37452;58294;1060;3303;10511;15251;26471;90168;1784;6589;20058;27994;34442;53313;1087;3310;10744;14823;27205;90846;1753;6757;20830;27423;35010;53163;"FE";"France"
"16/06/2020";1007;3183;10856;16433;28384;96544;1667;6577;20731;30742;37678;58558;1065;3327;10593;15323;26610;90611;1799;6634;20170;28145;34616;53568;1092;3325;10812;14906;27353;91223;1766;6794;20939;27612;35167;53416;"FE";"France"
"17/06/2020";1015;3203;10914;16523;28544;96968;1676;6612;20834;30873;37865;58822;1072;3349;10663;15419;26756;91085;1805;6677;20303;28318;34805;53829;1097;3341;10879;14976;27502;91634;1770;6819;21064;27773;35320;53663;"FE";"France"
"18/06/2020";1024;3216;10975;16610;28684;97421;1685;6647;20958;31030;38041;59098;1076;3368;10719;15508;26892;91536;1814;6728;20424;28475;34980;54112;1104;3351;10943;15045;27632;92057;1783;6867;21165;27946;35480;53907;"FE";"France"
"19/06/2020";1033;3239;11026;16697;28809;97858;1692;6683;21083;31182;38229;59364;1086;3383;10786;15603;27041;92021;1821;6774;20562;28646;35164;54356;1109;3369;11012;15134;27755;92482;1791;6921;21301;28108;35637;54186;"FE";"France"
"20/06/2020";1037;3253;11079;16791;28957;98287;1705;6726;21181;31352;38418;59619;1090;3405;10857;15692;27177;92479;1831;6801;20686;28804;35343;54625;1120;3388;11085;15207;27910;92952;1801;6948;21418;28278;35832;54423;"FE";"France"
"21/06/2020";1042;3274;11131;16875;29106;98776;1711;6758;21280;31506;38612;59889;1094;3423;10912;15779;27314;92894;1841;6842;20815;28955;35533;54865;1124;3402;11148;15282;28052;93409;1812;6988;21537;28461;36029;54673;"FE";"France"
"22/06/2020";1047;3290;11197;16965;29261;99240;1721;6804;21413;31675;38818;60158;1099;3439;10971;15867;27435;93316;1851;6884;20933;29105;35717;55112;1132;3435;11209;15364;28193;93826;1823;7024;21658;28618;36211;54930;"FE";"France"
"23/06/2020";1052;3310;11259;17051;29399;99733;1730;6852;21524;31850;39026;60468;1104;3459;11021;15946;27581;93769;1872;6917;21059;29243;35890;55364;1136;3458;11266;15443;28334;94184;1833;7053;21772;28781;36384;55183;"FE";"France"
"24/06/2020";1061;3327;11309;17155;29562;100180;1737;6903;21647;32028;39207;60750;1110;3481;11081;16041;27726;94208;1883;6955;21178;29412;36105;55616;1141;3478;11331;15518;28459;94621;1845;7100;21908;28923;36560;55413;"FE";"France"
"25/06/2020";1066;3345;11371;17251;29720;100694;1752;6943;21767;32220;39411;61052;1115;3502;11159;16129;27866;94655;1897;6993;21301;29571;36303;55880;1147;3495;11391;15587;28583;95058;1855;7137;22029;29089;36741;55665;"FE";"France"
"26/06/2020";1073;3373;11428;17333;29879;101187;1763;6999;21901;32422;39615;61354;1123;3517;11221;16217;28031;95124;1910;7028;21426;29720;36515;56173;1154;3518;11452;15673;28739;95478;1865;7187;22158;29257;36930;55954;"FE";"France"
"27/06/2020";1076;3388;11495;17433;30024;101674;1781;7031;22017;32568;39778;61627;1131;3544;11289;16322;28174;95574;1934;7079;21548;29871;36721;56455;1167;3538;11540;15756;28909;95947;1872;7226;22262;29379;37142;56233;"FE";"France"
"28/06/2020";1082;3400;11554;17536;30158;102111;1788;7054;22119;32722;39944;61873;1135;3566;11348;16434;28323;96023;1953;7119;21690;30048;36926;56744;1173;3569;11591;15834;29064;96408;1879;7273;22374;29547;37347;56529;"FE";"France"
"29/06/2020";1088;3419;11604;17618;30280;102517;1801;7090;22231;32861;40125;62122;1142;3587;11410;16544;28473;96518;1967;7163;21815;30204;37092;57025;1179;3589;11653;15911;29231;96889;1889;7309;22495;29707;37536;56782;"FE";"France"
"30/06/2020";1092;3439;11662;17708;30421;102926;1811;7140;22322;33043;40311;62367;1145;3611;11462;16639;28627;97021;1986;7206;21945;30368;37295;57331;1187;3607;11714;15995;29386;97350;1904;7344;22610;29868;37705;57057;"FE";"France"
"01/07/2020";1098;3455;11727;17793;30583;103354;1818;7189;22436;33213;40480;62596;1152;3631;11535;16731;28763;97505;1994;7263;22068;30553;37486;57608;1195;3626;11778;16089;29560;97847;1919;7394;22733;30037;37915;57349;"FE";"France"
"02/07/2020";1103;3476;11791;17875;30725;103773;1826;7231;22555;33382;40669;62842;1160;3644;11594;16824;28903;97931;1999;7296;22186;30724;37677;57877;1205;3639;11846;16164;29722;98333;1932;7426;22857;30186;38131;57647;"FE";"France"
"03/07/2020";1109;3497;11854;17955;30838;104196;1835;7277;22662;33549;40846;63057;1167;3664;11655;16914;29048;98381;2007;7337;22308;30899;37866;58106;1215;3664;11926;16247;29885;98795;1949;7463;22982;30370;38334;57935;"FE";"France"
"04/07/2020";1118;3512;11920;18050;30949;104577;1847;7308;22753;33703;41037;63305;1175;3683;11738;17000;29213;98800;2021;7369;22418;31060;38066;58347;1224;3681;11983;16332;30030;99264;1956;7507;23114;30506;38530;58236;"FE";"France"
"05/07/2020";1126;3525;11988;18140;31078;105040;1860;7355;22854;33878;41219;63558;1185;3706;11796;17083;29349;99240;2031;7416;22543;31248;38247;58616;1230;3705;12050;16422;30180;99689;1971;7539;23225;30661;38735;58529;"FE";"France"
"06/07/2020";1133;3539;12050;18228;31216;105469;1870;7386;22957;34045;41417;63801;1190;3737;11866;17163;29505;99709;2050;7460;22681;31412;38435;58895;1240;3728;12109;16487;30307;100148;1987;7574;23362;30833;38914;58757;"FE";"France"
"07/07/2020";1143;3563;12104;18316;31350;105897;1882;7437;23103;34190;41598;64031;1196;3759;11923;17242;29634;100145;2060;7493;22810;31563;38629;59185;1247;3746;12183;16573;30437;100560;2000;7618;23475;30987;39116;59024;"FE";"France"
"08/07/2020";1150;3589;12156;18413;31491;106317;1890;7470;23221;34360;41761;64258;1199;3777;11981;17320;29775;100575;2070;7531;22925;31709;38806;59418;1253;3765;12241;16653;30572;100980;2018;7670;23598;31130;39327;59247;"FE";"France"
"09/07/2020";1153;3602;12214;18501;31642;106834;1905;7505;23346;34505;41958;64518;1202;3797;12035;17399;29930;101004;2088;7559;23039;31871;39015;59661;1260;3782;12310;16751;30738;101417;2035;7714;23697;31302;39509;59489;"FE";"France"
"10/07/2020";1158;3625;12276;18600;31802;107332;1915;7544;23477;34657;42140;64792;1212;3820;12092;17479;30049;101432;2098;7599;23148;32031;39193;59898;1267;3809;12381;16855;30876;101848;2043;7770;23810;31438;39711;59747;"FE";"France"
"11/07/2020";1163;3641;12329;18702;31926;107738;1930;7576;23584;34812;42313;65040;1220;3850;12153;17571;30209;101851;2122;7638;23279;32202;39407;60165;1272;3829;12450;16941;31000;102282;2057;7806;23914;31581;39885;59989;"FE";"France"
"12/07/2020";1166;3661;12404;18780;32083;108129;1938;7603;23691;34975;42487;65292;1221;3868;12232;17678;30354;102307;2133;7677;23395;32359;39594;60419;1281;3846;12513;17017;31144;102693;2071;7855;24017;31745;40075;60221;"FE";"France"
"13/07/2020";1171;3685;12471;18867;32228;108524;1949;7634;23812;35140;42687;65527;1227;3886;12289;17759;30496;102729;2146;7721;23521;32509;39780;60703;1289;3873;12564;17103;31294;103116;2076;7910;24151;31891;40244;60479;"FE";"France"
"14/07/2020";1183;3700;12531;18943;32369;108957;1967;7682;23931;35296;42872;65776;1233;3900;12354;17834;30628;103178;2156;7755;23618;32664;39943;60937;1292;3895;12622;17184;31454;103522;2088;7951;24271;32041;40418;60744;"FE";"France"
"15/07/2020";1188;3717;12598;19018;32498;109390;1982;7725;24052;35470;43057;66006;1239;3920;12430;17908;30766;103578;2170;7802;23742;32822;40094;61141;1299;3917;12679;17273;31603;103960;2100;8001;24389;32175;40599;60978;"FE";"France"
"16/07/2020";1192;3734;12657;19111;32648;109810;1997;7764;24170;35635;43209;66243;1253;3941;12485;18002;30894;103980;2180;7851;23869;32979;40273;61379;1307;3935;12735;17368;31749;104407;2110;8045;24529;32344;40795;61249;"FE";"France"
"17/07/2020";1200;3753;12712;19203;32785;110226;2008;7805;24267;35798;43410;66526;1257;3955;12560;18072;31029;104371;2190;7900;23985;33130;40499;61673;1315;3949;12800;17453;31897;104836;2120;8086;24649;32502;40996;61514;"FE";"France"
"18/07/2020";1205;3769;12760;19283;32940;110625;2016;7844;24392;35962;43573;66771;1265;3973;12636;18155;31178;104809;2198;7938;24109;33303;40680;61927;1320;3962;12871;17530;32043;105269;2129;8136;24763;32670;41200;61772;"FE";"France"
"19/07/2020";1208;3791;12818;19362;33085;111075;2029;7877;24499;36107;43733;67016;1270;3995;12705;18230;31338;105251;2208;7984;24226;33478;40854;62206;1322;3984;12943;17624;32224;105732;2137;8174;24879;32839;41380;62032;"FE";"France"
"20/07/2020";1215;3813;12872;19444;33239;111525;2043;7911;24615;36287;43899;67309;1274;4017;12774;18309;31495;105709;2226;8019;24359;33650;41064;62464;1323;4004;13006;17703;32381;106158;2152;8223;25012;32984;41544;62300;"FE";"France"
"21/07/2020";1226;3830;12931;19537;33394;111940;2059;7950;24731;36474;44091;67525;1280;4041;12817;18394;31630;106102;2237;8060;24491;33790;41234;62734;1331;4021;13068;17788;32517;106567;2166;8262;25119;33130;41750;62572;"FE";"France"
"22/07/2020";1229;3848;12983;19611;33515;112384;2072;7992;24854;36623;44278;67804;1290;4058;12885;18474;31805;106520;2247;8099;24586;33970;41437;63005;1337;4043;13135;17879;32644;106946;2179;8315;25242;33280;41917;62802;"FE";"France"
"23/07/2020";1235;3870;13050;19719;33650;112843;2083;8021;24966;36790;44462;68057;1294;4077;12940;18562;31960;106986;2255;8138;24719;34134;41643;63286;1339;4063;13209;17946;32803;107360;2185;8343;25380;33445;42134;63052;"FE";"France"
"24/07/2020";1240;3886;13114;19805;33815;113295;2096;8060;25087;36974;44651;68305;1300;4096;13001;18669;32132;107477;2266;8165;24841;34307;41848;63594;1346;4082;13262;18021;32975;107794;2196;8394;25504;33609;42335;63318;"FE";"France"
"25/07/2020";1251;3897;13182;19892;33951;113738;2104;8089;25204;37189;44832;68591;1306;4125;13069;18769;32318;108049;2277;8214;24974;34492;42050;63914;1353;4098;13336;18113;33121;108291;2207;8439;25638;33793;42526;63601;"FE";"France"
"26/07/2020";1262;3920;13235;19968;34111;114194;2122;8131;25315;37340;44993;68831;1313;4150;13130;18873;32498;108641;2286;8253;25105;34683;42255;64238;1361;4131;13410;18199;33278;108747;2218;8467;25752;33957;42720;63879;"FE";"France"
"27/07/2020";1266;3941;13316;20061;34240;114623;2139;8160;25438;37500;45193;69105;1324;4168;13196;18952;32639;109076;2298;8302;25223;34837;42440;64514;1375;4150;13484;18284;33428;109252;2233;8513;25871;34137;42930;64165;"FE";"France"
